Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
18,CA-2023-373432,03/31/2023,04/05/2023,Second Class,CG-97782,Customer_0184,Corporate,United States,Los Angeles,Texas,61876,West,TEC-3144,Office Supplies,Binders,Cardinal Showcase,426.09,10,0.3,89.48
19,CA-2023-176819,10/07/2023,10/13/2023,Second Class,CG-76307,Customer_0068,Consumer,United States,Chicago,California,42018,Central,TEC-7054,Furniture,Bookcases,Sauder Bookcase,239.57,1,0.0,67.08
20,CA-2021-795613,08/06/2021,08/08/2021,Standard Class,CG-27601,Customer_0068,Consumer,United States,New York,Washington,30374,South,TEC-5462,Office Supplies,Storage,Iris Weathertight,182.82,9,0.2,53.02
21,CA-2021-987204,07/31/2021,08/05/2021,Standard Class,CG-22097,Customer_0163,Corporate,United States,Chicago,California,10464,East,TEC-6464,Office Supplies,Storage,Fellowes Bankers Box,201.08,5,0.2,58.31
22,CA-2020-178898,09/24/2020,09/30/2020,Second Class,CG-81511,Customer_0010,Corporate,United States,Seattle,Washington,29410,Central,TEC-8041,Technology,Copiers,Brother HL-L2350DW,2970.54,7,0.0,1039.69
23,CA-2020-470858,09/18/2020,09/19/2020,Same Day,CG-91351,Customer_0192,Consumer,United States,Los Angeles,New York,33206,Central,TEC-7755,Furniture,Chairs,Steelcase Leap,1182.07,4,0.0,330.98
24,CA-2020-501124,02/20/2020,02/22/2020,Standard Class,CG-71694,Customer_0057,Consumer,United States,Houston,Texas,50001,Central,TEC-4728,Furniture,Tables,Lorell Mahogany,965.53,3,0.0,270.35
25,CA-2021-468203,04/01/2021,04/02/2021,Same Day,CG-99065,Customer_0138,Corporate,United States,New York,California,44237,East,TEC-3925,Furniture,Bookcases,Bush Barrister,733.44,2,0.2,88.01
26,CA-2023-503906,04/04/2023,04/07/2023,Second Class,CG-43386,Customer_0012,Home Office,United States,Houston,California,78146,West,TEC-9821,Technology,Copiers,HP LaserJet Pro,2247.35,6,0.0,786.57
27,CA-2023-854717,11/07/2023,11/13/2023,First Class,CG-76469,Customer_0080,Home Office,United States,Houston,Texas,62743,East,TEC-5844,Furniture,Furnishings,Deflecto Docuholder,1684.73,6,0.0,471.72
28,CA-2023-525800,02/09/2023,02/11/2023,Standard Class,CG-49829,Customer_0074,Consumer,United States,Houston,Washington,89516,East,TEC-6279,Furniture,Furnishings,Rogers Easel,836.64,3,0.2,100.4
29,CA-2022-790855,08/10/2022,08/14/2022,Standard Class,CG-47196,Customer_0132,Home Office,United States,Seattle,Texas,22240,South,TEC-4848,Office Supplies,Paper,Georgia-Pacific,414.0,8,0.0,186.3
30,CA-2023-740967,10/09/2023,10/12/2023,Standard Class,CG-69692,Customer_0107,Home Office,United States,Seattle,New York,60328,East,TEC-9099,Technology,Computers,Dell Inspiron 15,297.94,1,0.5,-14.9
31,CA-2022-152657,03/29/2022,03/31/2022,Second Class,CG-25906,Customer_0117,Consumer,United States,Houston,Washington,83259,East,TEC-6198,Office Supplies,Binders,Avery Heavy Duty,201.28,7,0.5,10.06
32,CA-2022-980660,06/25/2022,06/30/2022,First Class,CG-78327,Customer_0125,Home Office,United States,Los Angeles,Texas,67654,South,TEC-2269,Office Supplies,Art,Sanford Pencils,304.02,8,0.1,112.49
33,CA-2021-501641,08/08/2021,08/10/2021,Second Class,CG-38043,Customer_0017,Corporate,United States,Houston,Texas,81121,Central,TEC-8633,Furniture,Bookcases,IKEA Billy,319.19,2,0.1,63.84
34,CA-2022-600149,05/01/2022,05/02/2022,Standard Class,CG-56105,Customer_0077,Corporate,United States,Houston,Washington,81582,East,TEC-4613,Furniture,Furnishings,Rogers Easel,339.18,1,0.4,-13.57
35,CA-2022-859359,09/26/2022,09/28/2022,Second Class,CG-71261,Customer_0033,Home Office,United States,Seattle,California,61645,Central,TEC-1444,Furniture,Furnishings,Deflecto Docuholder,1463.23,7,0.4,-58.53
36,CA-2020-321941,06/20/2020,06/26/2020,Same Day,CG-52840,Customer_0087,Corporate,United States,Chicago,Florida,43065,South,TEC-2341,Technology,Copiers,Canon ImageCLASS,304.06,1,0.3,33.45
37,CA-2022-890870,08/21/2022,08/22/2022,Standard Class,CG-42411,Customer_0052,Consumer,United States,Seattle,New York,41266,West,TEC-3068,Furniture,Tables,Bush Furniture,640.62,2,0.0,179.37
38,CA-2022-735324,08/27/2022,09/02/2022,Standard Class,CG-31465,Customer_0080,Consumer,United States,Seattle,California,50888,West,TEC-7149,Office Supplies,Paper,Xerox 4200,253.38,5,0.0,114.02
39,CA-2022-934904,03/23/2022,03/29/2022,Standard Class,CG-55508,Customer_0137,Corporate,United States,Chicago,California,76317,East,TEC-6590,Technology,Computers,Dell Inspiron 15,2700.59,5,0.0,945.21
40,CA-2020-841666,01/26/2020,02/02/2020,Second Class,CG-67080,Customer_0046,Home Office,United States,Seattle,Texas,90728,South,TEC-9817,Furniture,Chairs,Steelcase Leap,1703.38,6,0.5,-204.41
41,CA-2022-392477,09/17/2022,09/21/2022,Same Day,CG-41963,Customer_0193,Corporate,United States,Seattle,Washington,97580,South,TEC-7209,Office Supplies,Labels,Maco Labels,324.41,6,0.0,145.98
42,CA-2021-456871,11/19/2021,11/20/2021,First Class,CG-88139,Customer_0180,Corporate,United States,Seattle,California,77715,South,TEC-4130,Furniture,Tables,Lorell Mahogany,854.82,4,0.2,102.58
43,CA-2020-569945,06/24/2020,06/26/2020,Standard Class,CG-22196,Customer_0076,Consumer,United States,Houston,New York,50135,South,TEC-7046,Furniture,Tables,Bush Furniture,2291.81,8,0.5,-275.02
44,CA-2022-341736,08/27/2022,09/01/2022,Standard Class,CG-35242,Customer_0081,Consumer,United States,Seattle,New York,35105,Central,TEC-4545,Furniture,Bookcases,Bush Barrister,1541.83,8,0.2,185.02
45,CA-2022-114835,09/18/2022,09/21/2022,Second Class,CG-45954,Customer_0012,Consumer,United States,Seattle,Texas,26551,Central,TEC-9042,Technology,Computers,HP EliteBook,1377.41,4,0.2,261.71
46,CA-2020-153872,07/29/2020,08/05/2020,First Class,CG-72616,Customer_0030,Consumer,United States,Houston,Florida,19710,West,TEC-1878,Office Supplies,Storage,Storex Dura,300.95,8,0.0,135.43
47,CA-2020-913373,11/06/2020,11/08/2020,Same Day,CG-69049,Customer_0114,Corporate,United States,Seattle,Florida,50026,Central,TEC-1986,Technology,Computers,Dell Inspiron 15,4552.0,9,0.1,1229.04
48,CA-2023-678805,06/02/2023,06/08/2023,Standard Class,CG-30517,Customer_0001,Corporate,United States,Houston,Washington,71592,West,TEC-5771,Technology,Computers,HP EliteBook,525.65,2,0.0,183.98
49,CA-2020-377405,03/07/2020,03/09/2020,Second Class,CG-65723,Customer_0030,Home Office,United States,Los Angeles,New York,44816,Central,TEC-3330,Office Supplies,Storage,Iris Weathertight,182.78,8,0.1,67.63
50,CA-2020-833723,05/26/2020,05/27/2020,Same Day,CG-45683,Customer_0129,Home Office,United States,Houston,Florida,20543,East,TEC-1653,Furniture,Bookcases,Bush Barrister,484.35,2,0.2,58.12
51,CA-2022-901909,06/03/2022,06/09/2022,First Class,CG-85529,Customer_0011,Consumer,United States,Houston,Washington,95394,Central,TEC-8245,Office Supplies,Storage,Fellowes Bankers Box,58.31,2,0.0,26.24
52,CA-2021-436653,07/23/2021,07/25/2021,Standard Class,CG-31079,Customer_0085,Corporate,United States,Houston,Texas,96846,South,TEC-7561,Office Supplies,Art,Sanford Pencils,271.35,8,0.3,56.98
53,CA-2023-639593,01/31/2023,02/01/2023,Standard Class,CG-96200,Customer_0139,Corporate,United States,Houston,California,34586,South,TEC-9494,Technology,Accessories,Anker USB-C Hub,1478.21,6,0.4,44.35
54,CA-2022-402020,01/10/2022,01/15/2022,Same Day,CG-73532,Customer_0032,Consumer,United States,Seattle,New York,30758,South,TEC-6091,Office Supplies,Art,Sanford Pencils,122.73,4,0.0,55.23
55,CA-2023-622584,02/02/2023,02/03/2023,First Class,CG-76698,Customer_0181,Corporate,United States,Houston,Florida,71894,South,TEC-4993,Technology,Computers,Dell Inspiron 15,4630.59,8,0.0,1620.71
56,CA-2022-173201,07/24/2022,07/29/2022,First Class,CG-64387,Customer_0088,Home Office,United States,Chicago,California,47072,East,TEC-5891,Furniture,Tables,Bush Furniture,2804.16,9,0.0,785.16
57,CA-2023-577463,04/17/2023,04/22/2023,First Class,CG-34727,Customer_0179,Consumer,United States,Seattle,Florida,40613,South,TEC-7730,Technology,Copiers,Brother HL-L2350DW,2704.4,8,0.4,81.13
58,CA-2020-232378,03/30/2020,04/02/2020,First Class,CG-23154,Customer_0113,Consumer,United States,Seattle,Florida,12011,South,TEC-3361,Office Supplies,Art,Faber-Castell,119.44,3,0.0,53.75
59,CA-2022-781403,04/19/2022,04/26/2022,Standard Class,CG-53065,Customer_0173,Home Office,United States,Houston,Texas,92155,East,TEC-8994,Technology,Copiers,HP LaserJet Pro,2695.82,6,0.4,80.87
60,CA-2023-897305,01/13/2023,01/14/2023,Standard Class,CG-68153,Customer_0043,Home Office,United States,Chicago,California,16028,West,TEC-6314,Technology,Accessories,Logitech MX Keys,747.18,2,0.0,261.51
61,CA-2020-278240,04/24/2020,04/27/2020,Second Class,CG-20350,Customer_0157,Corporate,United States,Seattle,New York,75230,Central,TEC-3344,Furniture,Furnishings,Deflecto Docuholder,1031.17,4,0.0,288.73
62,CA-2021-401603,04/20/2021,04/24/2021,Second Class,CG-19681,Customer_0114,Corporate,United States,Seattle,Texas,93746,Central,TEC-7951,Furniture,Bookcases,IKEA Billy,349.73,1,0.5,-41.97
63,CA-2023-699704,11/14/2023,11/17/2023,First Class,CG-85341,Customer_0076,Home Office,United States,Chicago,California,96275,South,TEC-7484,Furniture,Tables,Lorell Mahogany,1213.31,8,0.4,-48.53
64,CA-2021-329642,07/16/2021,07/17/2021,Second Class,CG-91381,Customer_0065,Home Office,United States,Los Angeles,California,92242,West,TEC-1645,Office Supplies,Art,Faber-Castell,177.13,4,0.3,37.2
65,CA-2021-442589,09/24/2021,10/01/2021,Same Day,CG-33021,Customer_0052,Consumer,United States,Seattle,Texas,79579,South,TEC-9221,Technology,Accessories,Belkin Charger,708.16,3,0.2,134.55
66,CA-2021-178957,07/12/2021,07/19/2021,Second Class,CG-39571,Customer_0174,Home Office,United States,Houston,Washington,57942,East,TEC-2479,Furniture,Furnishings,Eldon Wave Desk,1956.35,6,0.5,-234.76
67,CA-2022-712955,03/19/2022,03/20/2022,Same Day,CG-93695,Customer_0096,Consumer,United States,Los Angeles,Florida,13280,Central,TEC-6374,Office Supplies,Binders,Cardinal Showcase,281.48,6,0.2,81.63
68,CA-2023-246566,06/03/2023,06/05/2023,Standard Class,CG-14877,Customer_0078,Corporate,United States,New York,California,40775,West,TEC-9807,Office Supplies,Art,Dixon Ticonderoga,229.85,5,0.0,103.43
69,CA-2020-974190,10/04/2020,10/08/2020,Same Day,CG-90694,Customer_0105,Corporate,United States,New York,Texas,38477,South,TEC-8264,Furniture,Furnishings,Rogers Easel,1039.06,3,0.0,290.94
70,CA-2022-299028,06/29/2022,07/01/2022,Standard Class,CG-69600,Customer_0024,Home Office,United States,Los Angeles,Washington,12799,Central,TEC-1828,Technology,Accessories,Belkin Charger,1345.32,6,0.2,255.61
71,CA-2021-952547,11/14/2021,11/16/2021,Second Class,CG-53064,Customer_0199,Consumer,United States,Seattle,California,46342,East,TEC-3370,Office Supplies,Paper,Hammermill Copy Paper,254.58,9,0.1,94.19
72,CA-2020-928358,09/23/2020,09/28/2020,Second Class,CG-87182,Customer_0083,Consumer,United States,Los Angeles,Texas,16868,Central,TEC-3076,Technology,Phones,Motorola Edge,252.72,1,0.3,27.8
73,CA-2022-573962,05/12/2022,05/17/2022,Second Class,CG-90623,Customer_0012,Home Office,United States,Seattle,Texas,70036,West,TEC-1510,Office Supplies,Binders,Cardinal Showcase,408.97,8,0.0,184.04
74,CA-2020-437758,05/04/2020,05/08/2020,Second Class,CG-18609,Customer_0033,Corporate,United States,Seattle,Washington,81874,South,TEC-6327,Furniture,Chairs,Steelcase Leap,1146.98,8,0.0,321.15
75,CA-2022-550961,02/19/2022,02/24/2022,Same Day,CG-39949,Customer_0106,Corporate,United States,Houston,Florida,64524,Central,TEC-2557,Furniture,Furnishings,Deflecto Docuholder,676.4,2,0.1,135.28
76,CA-2021-170394,10/02/2021,10/06/2021,Standard Class,CG-21188,Customer_0024,Corporate,United States,New York,Texas,27054,Central,TEC-1982,Office Supplies,Storage,Storex Dura,142.42,3,0.5,7.12
77,CA-2023-856086,04/16/2023,04/21/2023,Standard Class,CG-47700,Customer_0154,Corporate,United States,Chicago,California,85748,Central,TEC-9313,Office Supplies,Binders,Cardinal Showcase,329.67,6,0.4,42.86
78,CA-2021-701987,03/11/2021,03/13/2021,Second Class,CG-66244,Customer_0144,Home Office,United States,Seattle,Washington,13441,South,TEC-5381,Technology,Phones,Samsung Galaxy S23,3123.22,9,0.2,593.41
79,CA-2020-693830,02/29/2020,03/02/2020,Same Day,CG-19120,Customer_0037,Home Office,United States,New York,California,79531,Central,TEC-4524,Office Supplies,Storage,Storex Dura,121.47,6,0.0,54.66
80,CA-2022-155164,02/09/2022,02/13/2022,Second Class,CG-30632,Customer_0194,Home Office,United States,New York,California,45665,South,TEC-8259,Furniture,Tables,Lorell Mahogany,1526.99,5,0.0,427.56
81,CA-2023-461939,09/17/2023,09/21/2023,Same Day,CG-24534,Customer_0073,Home Office,United States,Seattle,Florida,79066,South,TEC-6053,Office Supplies,Art,Faber-Castell,143.11,5,0.0,64.4
82,CA-2020-904624,04/03/2020,04/05/2020,Second Class,CG-43491,Customer_0075,Corporate,United States,New York,California,75193,South,TEC-8055,Office Supplies,Binders,Avery Heavy Duty,128.23,4,0.1,47.45
83,CA-2020-175576,12/25/2020,12/27/2020,Same Day,CG-15544,Customer_0112,Consumer,United States,Houston,California,51033,South,TEC-8033,Office Supplies,Paper,Georgia-Pacific,480.01,9,0.3,100.8
84,CA-2023-940247,03/20/2023,03/24/2023,Same Day,CG-57428,Customer_0023,Corporate,United States,New York,New York,67104,South,TEC-7560,Furniture,Chairs,Steelcase Leap,366.55,1,0.0,102.63
85,CA-2022-635280,12/09/2022,12/10/2022,Standard Class,CG-79547,Customer_0131,Consumer,United States,Chicago,Texas,94599,South,TEC-3419,Furniture,Bookcases,Sauder Bookcase,1918.68,6,0.0,537.23
86,CA-2021-285751,04/28/2021,04/29/2021,Same Day,CG-70811,Customer_0194,Home Office,United States,Seattle,Florida,99277,East,TEC-6295,Furniture,Tables,Safco Writing Desk,1632.17,10,0.0,457.01
87,CA-2023-720148,07/08/2023,07/11/2023,Standard Class,CG-56129,Customer_0130,Consumer,United States,Chicago,Florida,69233,East,TEC-1616,Furniture,Chairs,Steelcase Leap,2262.77,8,0.2,271.53
88,CA-2020-708519,04/26/2020,04/29/2020,Standard Class,CG-68947,Customer_0147,Home Office,United States,Los Angeles,Texas,89299,Central,TEC-8792,Technology,Phones,Motorola Edge,4028.27,10,0.5,-201.41
89,CA-2022-141043,10/23/2022,10/25/2022,Second Class,CG-67377,Customer_0113,Home Office,United States,Seattle,Washington,30807,West,TEC-6962,Furniture,Chairs,Steelcase Leap,502.27,2,0.0,140.64
90,CA-2022-169113,02/02/2022,02/05/2022,First Class,CG-22387,Customer_0143,Home Office,United States,Houston,Texas,43029,South,TEC-3463,Furniture,Bookcases,IKEA Billy,1380.91,10,0.3,55.24
91,CA-2021-424620,11/13/2021,11/14/2021,Same Day,CG-94343,Customer_0085,Consumer,United States,Seattle,California,94675,East,TEC-7937,Furniture,Bookcases,IKEA Billy,1100.67,7,0.0,308.19
92,CA-2022-301332,11/07/2022,11/10/2022,Second Class,CG-28030,Customer_0040,Consumer,United States,Chicago,California,76543,West,TEC-9843,Furniture,Bookcases,Sauder Bookcase,841.73,4,0.5,-101.01
93,CA-2022-971728,12/14/2022,12/15/2022,Second Class,CG-67366,Customer_0012,Corporate,United States,Chicago,New York,68222,Central,TEC-5668,Office Supplies,Paper,Georgia-Pacific,183.19,7,0.0,82.44
94,CA-2022-584106,07/08/2022,07/10/2022,First Class,CG-60052,Customer_0129,Home Office,United States,Houston,New York,36174,East,TEC-3267,Furniture,Furnishings,Deflecto Docuholder,1767.46,6,0.5,-212.1
95,CA-2021-187949,05/27/2021,05/28/2021,Second Class,CG-45755,Customer_0116,Home Office,United States,Los Angeles,Florida,22021,South,TEC-4637,Furniture,Chairs,IKEA Markus,3040.12,9,0.2,364.81
96,CA-2022-185569,07/12/2022,07/15/2022,First Class,CG-39430,Customer_0008,Corporate,United States,New York,Texas,29142,West,TEC-3254,Furniture,Chairs,Steelcase Leap,1966.41,9,0.4,-78.66
97,CA-2020-183074,03/19/2020,03/22/2020,Standard Class,CG-43544,Customer_0056,Consumer,United States,Seattle,Washington,79176,South,TEC-7934,Office Supplies,Paper,Georgia-Pacific,303.55,8,0.0,136.6
98,CA-2020-165858,08/15/2020,08/22/2020,Standard Class,CG-75513,Customer_0153,Home Office,United States,New York,Washington,85372,Central,TEC-4963,Technology,Accessories,Logitech MX Keys,295.38,1,0.5,-14.77
99,CA-2020-648913,10/21/2020,10/24/2020,First Class,CG-18870,Customer_0135,Home Office,United States,Seattle,Washington,82633,South,TEC-1333,Technology,Accessories,Logitech MX Keys,3666.27,10,0.0,1283.19
100,CA-2022-926823,03/10/2022,03/17/2022,Standard Class,CG-55193,Customer_0062,Home Office,United States,New York,Washington,53583,South,TEC-3185,Technology,Copiers,HP LaserJet Pro,2494.63,5,0.3,274.41
101,CA-2020-762423,03/31/2020,04/03/2020,Second Class,CG-27675,Customer_0017,Home Office,United States,Houston,California,48462,Central,TEC-4302,Office Supplies,Paper,Georgia-Pacific,473.86,8,0.5,23.69
102,CA-2020-365618,03/30/2020,04/06/2020,Standard Class,CG-94790,Customer_0049,Corporate,United States,Chicago,California,95948,East,TEC-6438,Technology,Accessories,Anker USB-C Hub,3233.61,9,0.5,-161.68
103,CA-2021-455505,07/13/2021,07/14/2021,Second Class,CG-75038,Customer_0178,Corporate,United States,Chicago,Washington,44959,Central,TEC-2353,Furniture,Furnishings,Rogers Easel,2789.27,8,0.4,-111.57
104,CA-2022-443848,05/19/2022,05/20/2022,First Class,CG-50173,Customer_0115,Home Office,United States,Houston,New York,68183,South,TEC-6759,Office Supplies,Paper,Georgia-Pacific,164.24,5,0.0,73.91
105,CA-2022-480959,07/04/2022,07/05/2022,Second Class,CG-14081,Customer_0037,Home Office,United States,Houston,California,26545,Central,TEC-2101,Office Supplies,Art,Faber-Castell,23.0,1,0.4,2.99
106,CA-2021-488984,04/28/2021,05/05/2021,First Class,CG-68188,Customer_0196,Consumer,United States,Seattle,New York,79397,Central,TEC-7012,Furniture,Furnishings,Rogers Easel,276.27,1,0.5,-33.15
107,CA-2022-688956,03/26/2022,03/29/2022,Standard Class,CG-44311,Customer_0199,Corporate,United States,Houston,New York,90199,Central,TEC-5678,Technology,Phones,Apple iPhone 14,1198.85,3,0.4,35.97
108,CA-2023-192055,11/22/2023,11/26/2023,First Class,CG-97535,Customer_0089,Home Office,United States,New York,Washington,81063,East,TEC-5757,Technology,Computers,Dell Inspiron 15,2152.5,8,0.5,-107.62
109,CA-2021-930541,09/06/2021,09/13/2021,Second Class,CG-41029,Customer_0127,Consumer,United States,Chicago,Washington,85009,East,TEC-7044,Office Supplies,Paper,Xerox 4200,260.73,9,0.1,96.47
110,CA-2022-651231,08/15/2022,08/22/2022,Same Day,CG-63665,Customer_0148,Consumer,United States,Los Angeles,Texas,94192,East,TEC-2215,Office Supplies,Binders,Avery Heavy Duty,179.63,5,0.5,8.98
111,CA-2022-971776,07/10/2022,07/14/2022,Standard Class,CG-77908,Customer_0040,Corporate,United States,Los Angeles,New York,52291,Central,TEC-4694,Technology,Computers,Dell Inspiron 15,2808.02,7,0.0,982.81
112,CA-2021-744274,12/09/2021,12/14/2021,Standard Class,CG-75873,Customer_0165,Consumer,United States,Seattle,Washington,30210,Central,TEC-3804,Technology,Accessories,Logitech MX Keys,2788.02,9,0.2,529.72
113,CA-2023-782759,09/11/2023,09/16/2023,Second Class,CG-84991,Customer_0107,Home Office,United States,New York,Florida,92203,Central,TEC-9938,Office Supplies,Binders,Avery Heavy Duty,43.64,2,0.2,12.66
114,CA-2021-822063,08/16/2021,08/22/2021,Standard Class,CG-30719,Customer_0113,Corporate,United States,Houston,Florida,36741,Central,TEC-6573,Furniture,Tables,Bush Furniture,1395.51,7,0.0,390.74
115,CA-2023-897615,05/27/2023,05/29/2023,First Class,CG-77499,Customer_0144,Consumer,United States,Chicago,New York,71141,Central,TEC-3007,Office Supplies,Storage,Iris Weathertight,354.09,6,0.0,159.34
116,CA-2021-360330,07/01/2021,07/05/2021,Second Class,CG-52917,Customer_0148,Home Office,United States,Chicago,New York,30885,East,TEC-9163,Technology,Phones,Apple iPhone 14,2890.77,5,0.4,86.72
117,CA-2022-352422,11/20/2022,11/24/2022,Second Class,CG-86460,Customer_0091,Consumer,United States,New York,Texas,74866,South,TEC-8710,Furniture,Furnishings,Deflecto Docuholder,722.62,2,0.5,-86.71
118,CA-2021-483713,08/08/2021,08/13/2021,Standard Class,CG-62505,Customer_0014,Home Office,United States,Seattle,New York,57516,West,TEC-5728,Technology,Copiers,Canon ImageCLASS,2455.02,5,0.4,73.65
119,CA-2020-513037,05/30/2020,06/03/2020,First Class,CG-54444,Customer_0143,Corporate,United States,Los Angeles,New York,88966,South,TEC-9341,Office Supplies,Storage,Iris Weathertight,247.52,10,0.0,111.38
120,CA-2022-256175,04/02/2022,04/07/2022,Second Class,CG-52987,Customer_0157,Corporate,United States,Los Angeles,Florida,90805,West,TEC-5902,Technology,Phones,Apple iPhone 14,3129.52,6,0.5,-156.48
121,CA-2023-447329,04/30/2023,05/03/2023,Standard Class,CG-64596,Customer_0150,Corporate,United States,New York,Washington,72205,South,TEC-5350,Office Supplies,Labels,Maco Labels,421.04,8,0.3,88.42
122,CA-2023-254954,09/04/2023,09/11/2023,Second Class,CG-14138,Customer_0147,Home Office,United States,New York,New York,12482,East,TEC-8225,Office Supplies,Binders,Fellowes Binder,214.56,8,0.4,27.89
123,CA-2021-989587,10/04/2021,10/08/2021,Standard Class,CG-28098,Customer_0133,Consumer,United States,Seattle,Texas,96799,East,TEC-8837,Furniture,Tables,Lorell Mahogany,2868.69,9,0.5,-344.24
124,CA-2022-739711,12/12/2022,12/16/2022,Same Day,CG-35200,Customer_0064,Corporate,United States,Seattle,Texas,39473,Central,TEC-5876,Technology,Copiers,Brother HL-L2350DW,2511.06,6,0.2,477.1
125,CA-2021-401769,08/14/2021,08/20/2021,Standard Class,CG-85166,Customer_0174,Home Office,United States,Houston,Florida,55237,East,TEC-3399,Office Supplies,Art,Faber-Castell,271.62,8,0.2,78.77
126,CA-2021-324381,08/17/2021,08/18/2021,Second Class,CG-80592,Customer_0070,Home Office,United States,Chicago,New York,24316,Central,TEC-4920,Office Supplies,Binders,Cardinal Showcase,369.91,8,0.5,18.5
127,CA-2021-205428,05/11/2021,05/12/2021,Second Class,CG-10679,Customer_0141,Consumer,United States,Houston,Florida,72580,East,TEC-4267,Office Supplies,Paper,Hammermill Copy Paper,73.06,2,0.5,3.65
128,CA-2021-283568,08/11/2021,08/14/2021,Same Day,CG-33040,Customer_0010,Corporate,United States,Houston,New York,47941,Central,TEC-1613,Office Supplies,Binders,Avery Heavy Duty,292.89,10,0.0,131.8
129,CA-2020-992400,01/19/2020,01/22/2020,Same Day,CG-45761,Customer_0050,Consumer,United States,Chicago,New York,70150,West,TEC-5215,Furniture,Bookcases,Bush Barrister,2304.72,9,0.0,645.32
130,CA-2021-967161,01/16/2021,01/17/2021,Same Day,CG-77538,Customer_0084,Consumer,United States,Houston,California,34219,Central,TEC-3303,Furniture,Tables,Safco Writing Desk,3390.37,10,0.4,-135.61
